;,type,id,=,(,),{,},",",return,const,<,>,<=,>=,==,!=,+,-,*,/,&&,||,!,true,false,number,eof,S,список_операторов,оператор,объявление,тело_объявления,параметры_объявления,список_параметров,возвращение,присваивание,константа,выражение,список_предикатов,предикат,список_слагаемых,слагаемое,список_множителей,множитель,список_логических_выражений,логическое_выражение,вызов_логического_выражения,параметры_вызова,список_значений
,s7,s8,,,,,,,s10,s9,,,,,,,,,,,,,,,,,r2,,s1,s2,s3,,,,s6,s4,s5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,r0,,,,,,,,,,,,,,,,,,,,,,
r38,,,,,,,,,,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,
r41,,,,,,,,,,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r47,,,,,,,,,,,,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,s76,
,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s79,,,,,,,,,,
,,,,,r29,,,,,,r29,r29,r29,r29,r29,r29,s87,s88,,,,,,,,,,,,,,,,,,,,,,,s86,,,,,,,,
,,,,,r33,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,s90,s91,,,,,,,,,,,,,,,,,,,,,,,s89,,,,,,
,,,,,r37,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s93,s94,,,,,,,,,,,,,,,,,,,,,,,s92,,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,,,,,s95,,,
,,,,,r39,,,,,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r40,,,,,,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,s97,r45,,,,,,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,s96,,
,,,,,r42,,,,,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,s98,,s51,,s52,,s53,,s54,,,
r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25,,,,,,,,,,,s32,s33,s34,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,
r25,,,,,,,,,,,s32,s33,s34,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,s102,,,,,,,,,,
r25,,,,,,,,,,,s32,s33,s34,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,s103,,,,,,,,,,
r25,,,,,,,,,,,s32,s33,s34,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,s104,,,,,,,,,,
r25,,,,,,,,,,,s32,s33,s34,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,s105,,,,,,,,,,
r25,,,,,,,,,,,s32,s33,s34,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,s106,,,,,,,,,,
r29,,,,,,,,,,,r29,r29,r29,r29,r29,r29,s39,s40,,,,,,,,,,,,,,,,,,,,,,,s107,,,,,,,,
r29,,,,,,,,,,,r29,r29,r29,r29,r29,r29,s39,s40,,,,,,,,,,,,,,,,,,,,,,,s108,,,,,,,,
r33,,,,,,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,s42,s43,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,
r33,,,,,,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,s42,s43,,,,,,,,,,,,,,,,,,,,,,,s110,,,,,,
r37,,,,,,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s45,s46,,,,,,,,,,,,,,,,,,,,,,,s111,,,,
r37,,,,,,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s45,s46,,,,,,,,,,,,,,,,,,,,,,,s112,,,,
,,,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r49,,,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s114
r43,,,,,,,,,,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,s116,,s52,,s53,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,s117,,s52,,s53,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,s118,,s52,,s53,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,s119,,s52,,s53,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,s120,,s52,,s53,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,s121,,s52,,s53,,s54,,,
,,,,,r26,,,,,,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,s122,,s53,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,s123,,s53,,s54,,,
,,,,,r30,,,,,,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,,,s124,,s54,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,,,s125,,s54,,,
,,,,,r34,,,,,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,,,,,s126,,,
,,s58,,s60,,,,,,,,,,,,,,,,,,,s55,s56,s57,s59,,,,,,,,,,,,,,,,,,,,s127,,,
,,,,,r38,,,,,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r41,,,,,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r47,,,,,,,,,,,,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,s128,
,,,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r14,,,s132,,,,,,,,,,,,,,,,,,,,,,,,,,s131,,,,,,,,,,,,,,,
r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r27,,,,,,,,,,,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r28,,,,,,,,,,,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r31,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r32,,,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r35,,,,,,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r36,,,,,,,,,,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r44,,,,,,,,,,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,s133,,,,,,,,,,,,,,,,,,,,,,,
